transaction_amount,hour_of_day,is_weekend,num_items,customer_age,prev_transactions,distance_from_home,device_type,network_quality,is_first_transaction,store_type,velocity_score,is_fraud
99.48220135786613,2.0,0.0,4.0,41.499456833205954,12.0,4.873494077029866,1.0,38.777563500803566,0.0,0.0,5.342637301968264,1
101.76317759858642,3.0,1.0,1.0,31.564941613346463,1.0,43.83347270621635,0.0,81.15620817434112,0.0,0.0,8.308826031351012,0
58.05536629871318,1.0,0.0,2.0,51.00269693442258,4.0,8.823619025690196,0.0,90.05553767029939,1.0,0.0,1.763907745941761,0
70.03036772779889,2.0,0.0,1.0,56.07595450949101,6.0,52.80596547488111,0.0,69.82470080626217,0.0,0.0,5.007450253938632,0
82.56739327960705,2.0,0.0,4.0,35.69603045677518,3.0,27.67251137952102,0.0,75.3063462131577,0.0,0.0,5.004523344906834,0
75.60442959271487,2.0,0.0,5.0,29.433639144413448,3.0,126.37119690407756,0.0,76.99884403526691,0.0,0.0,3.9785760555892553,0
87.92512770646105,1.0,1.0,2.0,28.852249374518816,0.0,15.221897258274398,2.0,84.13182155694886,0.0,0.0,5.007450253938632,0
99.48220135786613,2.0,0.0,6.0,33.39571324387168,3.0,16.599608629937126,2.0,27.97193950102709,0.0,0.0,5.107964337279725,1
131.93651110145925,1.0,0.0,2.0,43.21088849010282,2.0,17.32149620839465,1.0,56.68494194907849,0.0,0.0,5.007450253938632,0
115.5745429398895,1.0,0.0,2.0,43.13275457416418,8.0,11.699808952485318,1.0,100.0,1.0,0.0,6.057781679275217,0
122.60339191298355,2.0,0.0,4.0,18.92763802335652,13.0,31.957809799408587,0.0,100.0,0.0,0.0,4.220763272141542,0
117.08301159763133,1.0,1.0,6.0,18.48078321674584,1.0,12.478808658723104,0.0,81.13048950007641,0.0,1.0,6.040071406485623,0
155.29502121786544,3.0,0.0,2.0,49.86955418861605,0.0,66.9731446304547,2.0,57.776516001232274,0.0,0.0,6.183453776334861,0
50.32052422029819,3.0,0.0,5.0,46.285275130966255,3.0,17.848319884222335,2.0,75.3063462131577,0.0,0.0,4.9283006247158845,0
95.94770176391282,3.0,0.0,2.0,26.15230403330539,0.0,27.40292041008024,2.0,50.68387122678885,0.0,0.0,5.007450253938632,0
125.29827767279326,3.0,0.0,2.0,46.0797024494489,24.0,17.32149620839465,1.0,79.35966195303192,0.0,0.0,4.619236084290548,0
99.48220135786613,2.0,0.0,3.0,46.66893877604566,12.0,46.01696035358294,2.0,66.8078603427213,0.0,1.0,1.682785811502642,0
58.15098227802065,2.0,0.0,5.0,35.36118685564479,1.0,17.32149620839465,0.0,100.0,0.0,1.0,6.1491301180698335,0
98.88498581409736,2.0,0.0,3.0,36.71951922291544,1.0,18.21540345545002,2.0,89.1590082426375,0.0,1.0,8.555813335814845,0
100.08095156784704,3.0,1.0,1.0,35.36118685564479,13.0,42.78941310062941,2.0,62.89799133439328,0.0,1.0,2.2525858009264583,0
109.67949556837722,1.0,0.0,2.0,41.35320249447638,2.0,6.56243798263352,0.0,95.4565690187161,0.0,0.0,4.390056925194756,0
129.82205687908765,1.0,0.0,0.0,20.580679605779352,10.0,31.45646841586496,0.0,84.86476746890199,0.0,1.0,3.907757530740117,0
119.55639384663633,3.0,0.0,8.0,27.65881562132636,0.0,18.605755681013253,1.0,61.29629527602054,0.0,1.0,6.1738714831333255,0
89.98237111029181,3.0,0.0,2.0,36.63915514625782,3.0,34.738989554940616,0.0,53.184056800218364,0.0,0.0,1.9049618911041688,0
